Date,Price,Open,High,Low,Vol.,Change %
30/09/2024,12.7875,11.9625,13.2375,11.6,,0.069
27/09/2024,11.9625,12.0025,12.08,10.5025,,-0.33%
26/09/2024,12.0025,12.7425,12.7425,11.3525,,-5.81%
25/09/2024,12.7425,13.3925,13.61,8.98,,-4.85%
24/09/2024,13.3925,13.785,14.105,12.7425,,-2.85%
23/09/2024,13.785,12.79,14.03,12.4275,,0.0778
20/09/2024,12.79,12.47,13.11,10.9025,,0.0257
19/09/2024,12.47,13.3725,13.3725,12.1,,-6.75%
18/09/2024,13.3725,12.59,13.8475,12.26,,0.0622
17/09/2024,12.59,12.46,12.75,11.8825,,0.0104
16/09/2024,12.46,12.55,12.955,12.31,,-0.72%
13/09/2024,12.55,13.1825,13.1825,12.4675,,-4.80%
12/09/2024,13.1825,13.6275,13.6275,11.14,,-3.27%
11/09/2024,13.6275,13.36,13.765,11.325,,0.02
10/09/2024,13.36,14.2375,14.2375,12.1675,,-6.16%
09/09/2024,14.2375,15.2175,15.5625,14.11,,-6.44%
06/09/2024,15.2175,14.2075,15.6725,12.3525,,0.0711
05/09/2024,14.2075,14.3775,14.3775,13.335,,-1.18%
04/09/2024,14.3775,13.8425,14.555,12.805,,0.0386
03/09/2024,13.8425,14.06,14.15,12.69,,-1.55%
02/09/2024,14.06,13.3925,14.25,12.6275,,0.0498
30/08/2024,13.3925,13.7875,13.905,12.54,,-2.86%
29/08/2024,13.7875,13.95,14.135,12.4825,,-1.16%
28/08/2024,13.95,13.6325,14.085,12.035,,0.0233
27/08/2024,13.6325,13.795,14.01,12.71,,-1.18%
26/08/2024,13.795,13.5525,13.9925,12.01,,0.0179
23/08/2024,13.5525,13,13.62,10.84,,0.0425
22/08/2024,13,13.3325,13.7825,10.9575,,-2.49%
21/08/2024,13.3325,13.82,14.045,11.8225,,-3.53%
20/08/2024,13.82,14.315,14.315,11.425,,-3.46%
19/08/2024,14.315,14.4025,14.83,13.1975,,-0.61%
16/08/2024,14.4025,15.435,15.435,12.95,,-6.69%
14/08/2024,15.435,16.1675,16.22,13.8225,,-4.53%
